id,jurisdiction,removal_date,source_rule
WA-009,WA,2022-11-04,Green WA general rule for records without an end date
WA-039,WA,2022-11-04,Green WA general rule for records without an end date
NSW-013,NSW,2022-05-19,Green Corrective Services target
NSW-028,NSW,2022-05-19,Green Corrective Services target
NSW-029,NSW,2022-05-19,Green Corrective Services target
NSW-031,NSW,2022-05-19,Green Corrective Services target
NSW-032,NSW,2022-05-19,Green Corrective Services target
NSW-034,NSW,2022-05-19,Green Corrective Services target
NSW-036,NSW,2023-10-06,Green Fire and Rescue rule
NSW-043,NSW,2023-10-06,Green Fire and Rescue rule; confirmed by the attached Policy Repository
NSW-044,NSW,2022-11-30,Green NSW general rule for records without an end date
NSW-045,NSW,2026-07-28,Green NSW Police Force rule
VIC-004,VIC,2024-10-04,Green healthcare worker multiple-entry permit rule
VIC-058,VIC,2024-06-24,Green Department of Education and Training employee rule
TAS-016,TAS,2022-06-30,Green all public sector workers rule
QLD-002,QLD,2022-10-31,Green Queensland residential aged care rule
QLD-011,QLD,2022-10-31,Green Queensland freight and logistics rule
QLD-029,QLD,2022-10-31,Green Queensland Police Service rule
